name,count,Stop_Number
Unheated Shelter,1,40873
,,40874
,,40875
,,40876
,,40877
,,40879
,,40880
,,40881
,,40882
,,40883
,,40884
,,40885
,,40886
,,40887
,,40888
,,40889
,,40890
,,40891
,,40892
,,40893
,,40894
,,40895
,,40896
,,40897
,,40901
,,40902
,,40903
,,40904
,,40905
,,40906
,,40907
,,40908
,,40909
,,40910
,,40911
,,40912
,,40913
,,40914
Bench,1,10001
Unheated Shelter,1,10001
Bench,1,10002
,,10003
,,10004
Bench,1,10005
Unheated Shelter,1,10006
Bench,1,10007
Bench,1,10008
Bench,1,10009
Unheated Shelter,1,10009
,,10010
,,10011
,,10012
,,10013
,,10014
,,10017
,,10018
,,10021
,,10022
,,10023
,,10024
,,10025
,,10026
,,10027
,,10028
,,10029
,,10030
,,10031
,,10032
,,10033
Unheated Shelter,1,10034
,,10035
,,10036
,,10037
,,10038
,,10039
,,10040
,,10041
Bench,1,10042
,,10043
,,10044
,,10045
,,10046
Bench,1,10047
,,10048
,,10049
Bench,1,10050
,,10051
,,10052
,,10053
,,10054
,,10055
,,10056
Bench,1,10057
Unheated Shelter,1,10057
,,10058
,,10059
Unheated Shelter,1,10060
Bench,1,10061
,,10062
Heated Shelter,1,10063
Bench,1,10064
Unheated Shelter,1,10064
Bench,1,10065
Unheated Shelter,1,10065
BUSwatch Electronic Sign,1,10066
Bench,1,10066
Heated Shelter,1,10066
BUSwatch Electronic Sign,1,10067
Bench,2,10067
Bike Rack/Locker,2,10067
Heated Shelter,1,10067
BUSwatch Electronic Sign,1,10068
Bench,2,10068
Heated Shelter,1,10068
Bench,1,10070
Unheated Shelter,1,10070
Bench,1,10071
Unheated Shelter,1,10071
Bench,1,10072
Bench,1,10073
Unheated Shelter,1,10073
Bench,1,10075
Unheated Shelter,1,10075
Bench,1,10076
Unheated Shelter,1,10076
Bench,1,10077
Bench,1,10078
Unheated Shelter,1,10078
Bench,1,10079
,,10080
Bench,1,10081
Unheated Shelter,1,10081
Bench,1,10082
,,10083
BUSwatch Electronic Sign,1,10085
Bench,1,10085
Unheated Shelter,1,10085
BUSwatch Electronic Sign,1,10086
Bench,2,10086
Heated Shelter,1,10086
Bench,1,10087
Bench,1,10088
,,10089
,,10090
,,10091
Bench,1,10092
Bench,1,10093
Unheated Shelter,1,10093
Bench,1,10094
Unheated Shelter,1,10094
,,10095
,,10096
,,10097
,,10098
,,10099
,,10100
Bench,1,10101
Bench,1,10102
Unheated Shelter,1,10102
,,10103
,,10104
,,10105
,,10106
,,10107
,,10108
Bench,1,10109
Bench,1,10110
Bench,1,10111
Bench,1,10112
Unheated Shelter,1,10112
Bench,1,10113
Bench,1,10114
Unheated Shelter,1,10114
Bench,1,10115
Unheated Shelter,1,10115
,,10116
Unheated Shelter,1,10117
,,10118
,,10119
,,10120
,,10121
Bench,1,10122
Unheated Shelter,1,10123
,,10124
,,10125
,,10126
Bench,1,10127
Bench,1,10128
Bench,1,10129
,,10130
Bench,1,10131
Unheated Shelter,1,10131
Unheated Shelter,1,10132
Bench,1,10134
Unheated Shelter,1,10134
,,10135
Bench,1,10138
Bench,1,10140
Bench,1,10141
Unheated Shelter,1,10141
Bench,1,10142
Bench,1,10143
Unheated Shelter,1,10143
Bench,1,10144
Bench,1,10145
Unheated Shelter,1,10145
Bench,1,10146
Bench,1,10147
Unheated Shelter,1,10147
,,10148
Bench,1,10149
Unheated Shelter,1,10150
Bench,1,10156
Bench,1,10157
Bench,1,10158
Unheated Shelter,1,10158
BUSwatch Electronic Sign,1,10159
Bench,2,10159
Unheated Shelter,1,10159
,,10161
Bench,1,10162
,,10167
,,10168
,,10169
Bench,1,10170
BUSwatch Electronic Sign,1,10171
Bench,1,10171
Heated Shelter,1,10171
BUSwatch Electronic Sign,1,10172
Bench,2,10172
Unheated Shelter,1,10172
Bench,2,10173
Unheated Shelter,1,10173
Bench,1,10174
Bench,1,10175
,,10176
Bench,1,10177
Bench,1,10178
Bench,1,10179
Bench,1,10180
Unheated Shelter,1,10180
Bench,1,10181
Bench,1,10182
Unheated Shelter,1,10182
Bench,2,10183
Unheated Shelter,1,10183
,,10184
Bench,1,10185
Unheated Shelter,1,10185
Bench,2,10186
Heated Shelter,1,10186
Bench,1,10187
Bench,1,10188
Bench,1,10189
Bench,1,10190
,,10194
,,10195
Unheated Shelter,1,10196
Bench,1,10197
Unheated Shelter,1,10197
,,10198
,,10199
Bench,1,10200
Unheated Shelter,1,10200
Bench,1,10201
,,10202
Bench,1,10205
Unheated Shelter,1,10205
Bench,1,10206
Unheated Shelter,1,10206
Bench,1,10207
,,10208
,,10211
,,10214
Bench,1,10228
